SalesID,OrderDate,CustomerID,ProductID,StoreID,SalesRepID,Quantity,UnitPrice,Discount,PaymentMode,Status,SalesAmount,ShipDate
1,2024-06-02,1423,2019,3004,4018,5,543,0.15,UPI,Delivered,2307.75,2024-06-07
2,2024-04-17,1384,2010,3008,4003,5,2936,0.23,UPI,Returned,11303.6,2024-04-20
3,2024-08-12,1412,2044,3010,4007,5,3869,0.09,Cash,Delivered,17603.95,2024-08-13
4,2024-05-04,1263,2045,3008,4012,3,2458,0.22,Net Banking,Cancelled,5751.72,2024-05-05
5,2024-06-23,1475,2029,3008,4009,3,2563,0.0,Net Banking,Cancelled,7689.0,2024-06-27
6,2024-03-03,1113,2043,3010,4004,4,551,0.21,Net Banking,Delivered,1741.16,2024-03-09
7,2024-03-20,1152,2018,3006,4008,1,1782,0.04,Credit Card,Cancelled,1710.72,2024-03-24
8,2024-10-28,1038,2016,3009,4008,4,3476,0.06,UPI,Delivered,13069.759999999998,2024-11-01
9,2024-09-03,1018,2005,3005,4012,4,2648,0.05,Cash,Cancelled,10062.4,2024-09-09
10,2024-08-28,1175,2007,3004,4007,3,3876,0.21,Cash,Cancelled,9186.12,2024-09-01
11,2024-05-08,1291,2026,3005,4019,4,1741,0.15,Credit Card,Cancelled,5919.4,2024-05-14
12,2024-07-18,1446,2040,3001,4010,1,1163,0.06,Credit Card,Cancelled,1093.22,2024-07-20
13,2024-05-18,1004,2033,3005,4004,5,3075,0.09,Cash,Returned,13991.25,2024-05-23
14,2024-04-13,1419,2019,3008,4012,5,5000,0.09,UPI,Returned,22750.0,2024-04-17
15,2024-06-22,1180,2005,3007,4007,4,1172,0.14,Net Banking,Delivered,4031.68,2024-06-28
16,2024-06-09,1246,2044,3006,4012,4,706,0.09,Net Banking,Returned,2569.84,2024-06-12
17,2024-06-26,1204,2048,3008,4001,1,570,0.28,Cash,Returned,410.4,2024-07-02
18,2024-05-23,1463,2018,3005,4014,4,2469,0.2,Cash,Returned,7900.8,2024-05-29
19,2024-10-11,1391,2005,3002,4019,3,1917,0.25,Credit Card,Delivered,4313.25,2024-10-15
20,2024-03-06,1330,2039,3004,4020,1,3317,0.23,Net Banking,Cancelled,2554.09,2024-03-07
21,2024-01-26,1202,2005,3008,4018,5,3709,0.09,Credit Card,Cancelled,16875.95,2024-02-01
22,2024-07-12,1062,2041,3003,4014,4,2239,0.25,Credit Card,Delivered,6717.0,2024-07-13
23,2024-03-06,1082,2036,3010,4002,4,4002,0.09,UPI,Returned,14567.28,2024-03-08
24,2024-11-24,1243,2041,3009,4012,3,490,0.01,Net Banking,Cancelled,1455.3,2024-11-28
25,2024-12-07,1250,2016,3010,4009,5,1936,0.01,Net Banking,Delivered,9583.2,2024-12-13
26,2024-10-13,1414,2041,3006,4013,1,490,0.13,Net Banking,Delivered,426.3,2024-10-14
27,2024-10-23,1488,2023,3006,4003,4,3590,0.03,UPI,Returned,13929.199999999999,2024-10-27
28,2024-11-26,1385,2016,3008,4014,1,1077,0.09,Cash,Cancelled,980.07,2024-11-30
29,2024-01-14,1481,2039,3005,4006,1,2582,0.18,UPI,Delivered,2117.2400000000002,2024-01-16
30,2024-09-29,1075,2043,3005,4012,5,4325,0.08,Net Banking,Cancelled,19895.0,2024-10-04
31,2024-05-10,1311,2030,3002,4009,5,813,0.16,UPI,Delivered,3414.6,2024-05-11
32,2024-07-21,1467,2030,3008,4012,2,3397,0.26,UPI,Returned,5027.5599999999995,2024-07-22
33,2024-08-10,1481,2036,3010,4017,1,2079,0.28,Cash,Cancelled,1496.8799999999999,2024-08-12
34,2024-11-19,1215,2039,3002,4011,5,3709,0.27,Credit Card,Delivered,13537.85,2024-11-21
35,2024-10-07,1248,2017,3003,4017,5,4613,0.2,Cash,Delivered,18452.0,2024-10-10
